fullname,hand,ioc,ht,sex
Kei Nishikori,R,JPN,178,M
Daniil Medvedev,R,RUS,198,M
Jo-Wilfried Tsonga,R,FRA,188,M
Jeremy Chardy,R,FRA,188,M
Alex De Minaur,R,AUS,183,M
Milos Raonic,R,CAN,196,M
Yasutaka Uchiyama,R,JPN,,M
Grigor Dimitrov,R,BUL,188,M
Jordan Thompson,R,AUS,183,M
Andy Murray,R,GBR,190,M
Miomir Kecmanovic,R,SRB,183,M
Nick Kyrgios,R,AUS,193,M
John Millman,R,AUS,183,M
Denis Kudla,R,USA,180,M
Destanee Aiava,R,AUS,,F
Harriet Dart,R,GBR,,F
Petra Kvitova,L,CZE,183,F
Anett Kontaveit,R,EST,174,F
Lesia Tsurenko,R,UKR,174,F
Kimberly Birrell,U,AUS,,F
Karolina Pliskova,R,CZE,184,F
Johanna Konta,R,GBR,180,F
Kiki Bertens,R,NED,182,F
Aliaksandra Sasnovich,R,BLR,,F
Naomi Osaka,R,JPN,180,F
Marc Polmans,R,AUS,,M
Thanasi Kokkinakis,R,AUS,,M
Cristian Garin,R,CHI,185,M
Taro Daniel,R,JPN,,M
Ugo Humbert,L,FRA,188,M
Christopher Eubanks,R,USA,,M
Viktorija Golubic,R,SUI,,F
Magdalena Frech,R,POL,,F
Kateryna Kozlova,R,UKR,,F
Lucie Hradecka,R,CZE,177,F
Andrea Petkovic,R,GER,180,F
Anastasia Potapova,R,RUS,,F
Zoe Hives,U,AUS,,F
Karolina Muchova,R,CZE,178,F
Dayana Yastremska,R,UKR,175,F
Mandy Minella,R,LUX,180,F
Viktoriya Tomova,R,BUL,,F
Christina Mchale,R,USA,170,F
Roberto Bautista Agut,R,ESP,183,M
Tomas Berdych,R,CZE,196,M
Novak Djokovic,R,SRB,188,M
Marco Cecchinato,R,ITA,185,M
Nikoloz Basilashvili,R,GEO,185,M
Stan Wawrinka,R,SUI,183,M
Dusan Lajovic,R,SRB,180,M
Pierre Hugues Herbert,R,FRA,188,M
Marton Fucsovics,R,HUN,188,M
Andrey Rublev,R,RUS,188,M
Nicolas Jarry,R,CHI,,M
Guillermo Garcia Lopez,R,ESP,188,M
Ricardas Berankis,R,LTU,175,M
Guido Pella,L,ARG,185,M
Fernando Verdasco,L,ESP,188,M
Maximilian Marterer,L,GER,,M
Paolo Lorenzi,R,ITA,183,M
Marcos Baghdatis,R,CYP,183,M
Sergiy Stakhovsky,R,UKR,193,M
Mirza Basic,R,BIH,,M
Marco Trungelliti,R,ARG,,M
Kevin Anderson,R,RSA,203,M
Ivo Karlovic,R,CRO,208,M
Gilles Simon,R,FRA,183,M
Steve Darcis,R,BEL,178,M
Jaume Munar,R,ESP,183,M
Benoit Paire,R,FRA,196,M
Malek Jaziri,R,TUN,185,M
Ernests Gulbis,R,LAT,190,M
Laslo Djere,R,SRB,188,M
Simone Bolelli,R,ITA,183,M
Ilya Ivashka,R,BLR,193,M
Jiri Vesely,L,CZE,198,M
Michael Mmoh,R,USA,,M
Ramkumar Ramanathan,R,IND,,M
Evgeny Donskoy,R,RUS,185,M
Egor Gerasimov,R,BLR,196,M
Saketh Myneni,R,IND,,M
Antoine Hoang,R,FRA,,M
Thiago Monteiro,L,BRA,183,M
Sebastian Ofner,R,AUT,,M
Gianluigi Quinzi,L,ITA,,M
Felix Auger Aliassime,R,CAN,193,M
Tennys Sandgren,R,USA,188,M
Cameron Norrie,L,GBR,188,M
Jan Lennard Struff,R,GER,193,M
Philipp Kohlschreiber,R,GER,178,M
Taylor Fritz,R,USA,193,M
Pablo Carreno Busta,R,ESP,188,M
Leonardo Mayer,R,ARG,188,M
Fabio Fognini,R,ITA,178,M
Joao Sousa,R,POR,185,M
David Ferrer,R,ESP,175,M
Jose Rubin Statham,R,NZL,183,M
Matteo Berrettini,R,ITA,196,M
Peter Gojowczyk,R,GER,185,M
Mackenzie McDonald,R,USA,,M
Pablo Cuevas,R,URU,180,M
Bradley Klahn,L,USA,190,M
Thomas Fabbiano,R,ITA,,M
Roberto Marcora,R,ITA,,M
Andreas Seppi,R,ITA,190,M
Diego Schwartzman,R,ARG,170,M
Stefanos Tsitsipas,R,GRE,193,M
Yoshihito Nishioka,L,JPN,170,M
Guido Andreozzi,R,ARG,,M
Martin Klizan,L,SVK,190,M
Sam Querrey,R,USA,198,M
Reilly Opelka,R,USA,211,M
Camila Giorgi,R,ITA,168,F
Su Wei Hsieh,R,TPE,169,F
Timea Bacsinszky,R,SUI,,F
Samantha Stosur,R,AUS,172,F
Priscilla Hon,R,AUS,,F
Garbine Muguruza,R,ESP,182,F
Yulia Putintseva,R,KAZ,163,F
Sloane Stephens,R,USA,170,F
Elise Mertens,R,BEL,179,F
Ashleigh Barty,R,AUS,166,F
Angelique Kerber,L,GER,173,F
Alex Bolt,L,AUS,,M
Ekaterina Alexandrova,R,RUS,175,F
Tatjana Maria,R,GER,,F
Danielle Rose Collins,R,USA,178,F
Zarina Diyas,R,KAZ,172,F
Bernarda Pera,L,USA,,F
Katerina Siniakova,R,CZE,174,F
Monica Puig,R,PUR,170,F
Frances Tiafoe,R,USA,188,M
Alexei Popyrin,R,AUS,196,M
Lucas Pouille,R,FRA,185,M
Rafael Nadal,L,ESP,185,M
Filip Krajinovic,R,SRB,185,M
Marin Cilic,R,CRO,198,M
Roger Federer,R,SUI,185,M
Daniel Evans,R,GBR,175,M
Alexander Zverev,R,GER,198,M
Dominic Thiem,R,AUT,185,M
Karen Khachanov,R,RUS,198,M
Borna Coric,R,CRO,188,M
David Goffin,R,BEL,180,M
Hyeon Chung,R,KOR,,M
Denis Shapovalov,L,CAN,185,M
Gael Monfils,R,FRA,193,M
Viktor Troicki,R,SRB,193,M
Stefano Travaglia,R,ITA,185,M
Henri Laaksonen,R,SUI,,M
